Year,Sex,0to4YearOlds,5to9YearOlds,10to14YearOlds,15to19YearOlds,20to24YearOlds,25to29YearOlds,30to34YearOlds,35to39YearOlds,40to44YearOlds,45to49YearOlds,50to54YearOlds,55to59YearOlds,60to64YearOlds,65to69YearOlds,70to74YearOlds,75to79YearOlds,80to84YearOlds,85YearsAndOlder,TotalPopulation,Midpoint,Bin,Percent,MedianAge,0to4YearOldsCumSum,5to9YearOldsCumSum,10to14YearOldsCumSum,15to19YearOldsCumSum,20to24YearOldsCumSum,25to29YearOldsCumSum,30to34YearOldsCumSum,35to39YearOldsCumSum,40to44YearOldsCumSum,45to49YearOldsCumSum,50to54YearOldsCumSum,55to59YearOldsCumSum,60to64YearOldsCumSum,65to69YearOldsCumSum,70to74YearOldsCumSum,75to79YearOldsCumSum,80to84YearOldsCumSum,85YearsAndOlderCumSum
1976,Female,25376,28077,31536,34409,32980,32126,23781,19458,19034,20676,21426,18425,16163,14625,12037,8440,5632,4138,368339,184170,25to29YearOldsCumSum,0.989588,28.95835,25376,53453,84989,119398,152378,184504,208285,227743,246777,267453,288879,307304,323467,338092,350129,358569,364201,368339
1976,Male,26582,29059,33106,34404,30657,30471,23140,17793,17325,18717,19300,16375,13162,10469,7524,4513,2463,1444,336504,168252,25to29YearOldsCumSum,0.474024,26.8961,26582,55641,88747,123151,153808,184279,207419,225212,242537,261254,280554,296929,310091,320560,328084,332597,335060,336504
1977,Total,50628,55706,60820,67158,64128,61421,49821,37568,35567,38137,40039,35461,29473,25117,19758,13415,8170,5849,698236,349118,25to29YearOldsCumSum,0.825092,28.30037,50628,106334,167154,234312,298440,359861,409682,447250,482817,520954,560993,596454,625927,651044,670802,684217,692387,698236
1977,Female,24700,27383,29684,33541,33229,31543,25210,19568,18678,20060,21118,18806,16189,14568,12219,8710,5697,4335,365238,182619,30to34YearOldsCumSum,0.100714,30.40286,24700,52083,81767,115308,148537,180080,205290,224858,243536,263596,284714,303520,319709,334277,346496,355206,360903,365238
1977,Male,25928,28323,31136,33617,30899,29878,24611,18000,16889,18077,18921,16655,13284,10549,7539,4705,2473,1514,332998,166499,25to29YearOldsCumSum,0.555459,27.22184,25928,54251,85387,119004,149903,179781,204392,222392,239281,257358,276279,292934,306218,316767,324306,329011,331484,332998
1978,Total,50270,54276,57317,65710,64626,61956,50776,39024,35230,37102,39708,36329,29791,25196,20052,13890,8298,6066,695617,347809,25to29YearOldsCumSum,0.897564,28.59026,50270,104546,161863,227573,292199,354155,404931,443955,479185,516287,555995,592324,622115,647311,667363,681253,689551,695617
1978,Female,24508,26693,27983,32752,33527,31820,25694,20265,18552,19585,20970,19299,16306,14646,12349,9019,5815,4525,364308,182154,30to34YearOldsCumSum,0.189577,30.75831,24508,51201,79184,111936,145463,177283,202977,223242,241794,261379,282349,301648,317954,332600,344949,353968,359783,364308
1978,Male,25762,27583,29334,32958,31099,30136,25082,18759,16678,17517,18738,17030,13485,10550,7703,4871,2483,1541,331309,165655,25to29YearOldsCumSum,0.627771,27.51108,25762,53345,82679,115637,146736,176872,201954,220713,237391,254908,273646,290676,304161,314711,322414,327285,329768,331309
1979,Total,50290,52349,54018,64002,64765,62664,52231,39779,35024,35985,39170,37145,30066,25270,20207,14412,8440,6277,692094,346047,25to29YearOldsCumSum,0.967429,28.86972,50290,102639,156657,220659,285424,348088,400319,440098,475122,511107,550277,587422,617488,642758,662965,677377,685817,692094
1979,Female,24511,25746,26389,31808,33590,32162,26435,20604,18499,19059,20711,19762,16400,14652,12475,9346,5913,4702,362764,181382,30to34YearOldsCumSum,0.271458,31.08583,24511,50257,76646,108454,142044,174206,200641,221245,239744,258803,279514,299276,315676,330328,342803,352149,358062,362764
