Year,Sex,0to4YearOlds,5to9YearOlds,10to14YearOlds,15to19YearOlds,20to24YearOlds,25to29YearOlds,30to34YearOlds,35to39YearOlds,40to44YearOlds,45to49YearOlds,50to54YearOlds,55to59YearOlds,60to64YearOlds,65to69YearOlds,70to74YearOlds,75to79YearOlds,80to84YearOlds,85YearsAndOlder,TotalPopulation,Midpoint,Bin,Percent,MedianAge,0to4YearOldsCumSum,5to9YearOldsCumSum,10to14YearOldsCumSum,15to19YearOldsCumSum,20to24YearOldsCumSum,25to29YearOldsCumSum,30to34YearOldsCumSum,35to39YearOldsCumSum,40to44YearOldsCumSum,45to49YearOldsCumSum,50to54YearOldsCumSum,55to59YearOldsCumSum,60to64YearOldsCumSum,65to69YearOldsCumSum,70to74YearOldsCumSum,75to79YearOldsCumSum,80to84YearOldsCumSum,85YearsAndOlderCumSum
1996,Total,44010,42571,42608,45555,43742,48240,53137,58133,53642,46721,35602,32396,30458,29346,24054,17691,12406,10690,671002,335501,35to39YearOldsCumSum,0.269004,36.07602,44010,86581,129189,174744,218486,266726,319863,377996,431638,478359,513961,546357,576815,606161,630215,647906,660312,671002
1996,Female,21382,20737,20753,22353,22486,25203,27689,30132,27826,24453,19084,17467,16593,16493,13954,11166,8662,8255,354688,177344,35to39YearOldsCumSum,0.555589,37.22235,21382,42119,62872,85225,107711,132914,160603,190735,218561,243014,262098,279565,296158,312651,326605,337771,346433,354688
1996,Male,22628,21834,21855,23202,21256,23037,25448,28001,25816,22268,16518,14929,13865,12853,10100,6525,3744,2435,316314,158157,30to34YearOldsCumSum,0.956657,33.82663,22628,44462,66317,89519,110775,133812,159260,187261,213077,235345,251863,266792,280657,293510,303610,310135,313879,316314
1997,Total,44059,43337,42572,45624,43043,48176,50910,57332,54235,46382,38075,33162,30324,28988,23861,18055,12351,10851,671337,335669,35to39YearOldsCumSum,0.313045,36.25218,44059,87396,129968,175592,218635,266811,317721,375053,429288,475670,513745,546907,577231,606219,630080,648135,660486,671337
1997,Female,21397,21113,20744,22371,22143,25175,26565,29694,28102,24273,20403,17889,16493,16280,13778,11369,8603,8373,354765,177383,35to39YearOldsCumSum,0.601957,37.40783,21397,42510,63254,85625,107768,132943,159508,189202,217304,241577,261980,279869,296362,312642,326420,337789,346392,354765
1997,Male,22662,22224,21828,23253,20900,23001,24345,27638,26133,22109,17672,15273,13831,12708,10083,6686,3748,2478,316572,158286,35to39YearOldsCumSum,0.002641,35.01057,22662,44886,66714,89967,110867,133868,158213,185851,211984,234093,251765,267038,280869,293577,303660,310346,314094,316572
1998,Total,43389,42979,41856,45329,43146,47871,49307,56837,55246,46943,39454,34356,30902,28435,23946,18354,12236,11009,671595,335798,35to39YearOldsCumSum,0.385673,36.54269,43389,86368,128224,173553,216699,264570,313877,370714,425960,472903,512357,546713,577615,606050,629996,648350,660586,671595
1998,Female,21077,20915,20378,22202,22152,25022,25716,29408,28614,24567,21139,18540,16800,15923,13797,11479,8466,8479,354674,177337,35to39YearOldsCumSum,0.675837,37.70335,21077,41992,62370,84572,106724,131746,157462,186870,215484,240051,261190,279730,296530,312453,326250,337729,346195,354674
1998,Male,22312,22064,21478,23127,20994,22849,23591,27429,26632,22376,18315,15816,14102,12512,10149,6875,3770,2530,316921,158461,35to39YearOldsCumSum,0.074574,35.2983,22312,44376,65854,88981,109975,132824,156415,183844,210476,232852,251167,266983,281085,293597,303746,310621,314391,316921
1999,Total,42755,42349,41549,44537,43660,47365,48164,56518,55969,47989,41398,35216,31688,27995,23825,18656,12134,11133,672900,336450,35to39YearOldsCumSum,0.461287,36.84515,42755,85104,126653,171190,214850,262215,310379,366897,422866,470855,512253,547469,579157,607152,630977,649633,661767,672900
1999,Female,20778,20615,20205,21822,22377,24730,25136,29193,28950,25139,22169,18995,17249,15645,13695,11608,8358,8551,355215,177608,35to39YearOldsCumSum,0.751704,38.00682,20778,41393,61598,83420,105797,130527,155663,184856,213806,238945,261114,280109,297358,313003,326698,338306,346664,355215
1999,Male,21977,21734,21344,22715,21283,22635,23028,27325,27019,22850,19229,16221,14439,12350,10130,7048,3776,2582,317685,158843,35to39YearOldsCumSum,0.151016,35.60406,21977,43711,65055,87770,109053,131688,154716,182041,209060,231910,251139,267360,281799,294149,304279,311327,315103,317685
2000,Total,46470,47569,46676,45161,44351,48849,48757,55779,57227,53021,45669,33514,27378,25136,24686,20357,12912,10887,694399,347200,35to39YearOldsCumSum,0.347201,36.3888,46470,94039,140715,185876,230227,279076,327833,383612,440839,493860,539529,573043,600421,625557,650243,670600,683512,694399
2000,Female,22638,23176,22723,22277,22787,24801,24432,28534,29499,27459,23682,17755,15032,14087,14309,12510,8439,8184,362324,181162,35to39YearOldsCumSum,0.642321,37.56929,22638,45814,68537,90814,113601,138402,162834,191368,220867,248326,272008,289763,304795,318882,333191,345701,354140,362324
2000,Male,23832,24393,23953,22884,21564,24048,24325,27245,27728,25562,21987,15759,12346,11049,10377,7847,4473,2703,332075,166038,35to39YearOldsCumSum,0.038117,35.15247,23832,48225,72178,95062,116626,140674,164999,192244,219972,245534,267521,283280,295626,306675,317052,324899,329372,332075
2001,Total,46833,46930,47399,44066,46400,47127,49736,53595,57746,53694,48601,33848,27626,24762,24201,20428,13253,10914,697159,348580,35to39YearOldsCumSum,0.37482,36.49928,46833,93763,141162,185228,231628,278755,328491,382086,439832,493526,542127,575975,603601,628363,652564,672992,686245,697159
2001,Female,22811,22717,23173,21520,23893,24050,24962,27301,29633,27892,25230,17869,15168,13897,13991,12516,8524,8233,363380,181690,35to39YearOldsCumSum,0.679975,37.7199,22811,45528,68701,90221,114114,138164,163126,190427,220060,247952,273182,291051,306219,320116,334107,346623,355147,363380
2001,Male,24022,24213,24226,22546,22507,23077,24774,26294,28113,25802,23371,15979,12458,10865,10210,7912,4729,2681,333779,166890,35to39YearOldsCumSum,0.057979,35.23192,24022,48235,72461,95007,117514,140591,165365,191659,219772,245574,268945,284924,297382,308247,318457,326369,331098,333779
2002,Total,46986,46096,48308,43802,47157,46889,50077,51440,57223,54560,48802,37044,28295,24379,23579,20452,13827,10894,699810,349905,35to39YearOldsCumSum,0.400272,36.60109,46986,93082,141390,185192,232349,279238,329315,380755,437978,492538,541340,578384,606679,631058,654637,675089,688916,699810
2002,Female,22723,22325,23690,21321,24397,24080,25121,26164,29376,28302,25373,19485,15428,13755,13519,12445,8965,8103,364572,182286,35to39YearOldsCumSum,0.712009,37.84804,22723,45048,68738,90059,114456,138536,163657,189821,219197,247499,272872,292357,307785,321540,335059,347504,356469,364572
2002,Male,24263,23771,24618,22481,22760,22809,24956,25276,27847,26258,23429,17559,12867,10624,10060,8007,4862,2791,335238,167619,35to39YearOldsCumSum,0.077583,35.31033,24263,48034,72652,95133,117893,140702,165658,190934,218781,245039,268468,286027,298894,309518,319578,327585,332447,335238
2003,Total,47330,45841,48482,43868,47620,47253,50085,49680,56514,55768,49615,38956,29746,24446,23058,20312,14332,11064,703970,351985,35to39YearOldsCumSum,0.43289,36.73156,47330,93171,141653,185521,233141,280394,330479,380159,436673,492441,542056,581012,610758,635204,658262,678574,692906,703970
2003,Female,23036,22248,23680,21414,24708,24481,25045,25270,29054,28817,25883,20497,16109,13714,13278,12313,9236,8200,366983,183492,35to39YearOldsCumSum,0.747111,37.98844,23036,45284,68964,90378,115086,139567,164612,189882,218936,247753,273636,294133,310242,323956,337234,349547,358783,366983
2003,Male,24294,23593,24802,22454,22912,22772,25040,24410,27460,26951,23732,18459,13637,10732,9780,7999,5096,2864,336987,168494,35to39YearOldsCumSum,0.107599,35.4304,24294,47887,72689,95143,118055,140827,165867,190277,217737,244688,268420,286879,300516,311248,321028,329027,334123,336987
2004,Total,47201,45746,48254,44145,47948,48727,49408,48317,55937,56153,50456,41070,30597,24507,22478,19863,14780,11241,706828,353414,35to39YearOldsCumSum,0.455016,36.82006,47201,92947,141201,185346,233294,282021,331429,379746,435683,491836,542292,583362,613959,638466,660944,680807,695587,706828
2004,Female,22970,22328,23463,21610,24550,24996,24734,24394,28629,28963,26320,21576,16474,13817,12897,12024,9504,8180,367429,183715,35to39YearOldsCumSum,0.781483,38.12593,22970,45298,68761,90371,114921,139917,164651,189045,217674,246637,272957,294533,311007,324824,337721,349745,359249,367429
2004,Male,24231,23418,24791,22535,23398,23731,24674,23923,27308,27190,24136,19494,14123,10690,9581,7839,5276,3061,339399,169700,35to39YearOldsCumSum,0.122121,35.48848,24231,47649,72440,94975,118373,142104,166778,190701,218009,245199,269335,288829,302952,313642,323223,331062,336338,339399
2005,Total,46732,45627,47894,45265,47230,50244,48217,47687,54541,56487,51464,43654,31468,24713,22043,19918,15025,11809,710018,355009,35to39YearOldsCumSum,0.499088,36.99635,46732,92359,140253,185518,232748,282992,331209,378896,433437,489924,541388,585042,616510,641223,663266,683184,698209,710018
2005,Female,22818,22254,23349,22146,24027,25850,24110,23988,27929,29174,26902,22855,16830,13921,12668,11967,9545,8562,368895,184448,35to39YearOldsCumSum,0.82931,38.31724,22818,45072,68421,90567,114594,140444,164554,188542,216471,245645,272547,295402,312232,326153,338821,350788,360333,368895
2005,Male,23914,23373,24545,23119,23203,24394,24107,23699,26612,27313,24562,20799,14638,10792,9375,7951,5480,3247,341123,170562,35to39YearOldsCumSum,0.164838,35.65935,23914,47287,71832,94951,118154,142548,166655,190354,216966,244279,268841,289640,304278,315070,324445,332396,337876,341123
2006,Total,46669,45911,47567,46050,46252,52326,46519,48975,52405,57059,52587,46596,31996,25060,21743,19843,15250,12341,715149,357575,35to39YearOldsCumSum,0.536611,37.14644,46669,92580,140147,186197,232449,284775,331294,380269,432674,489733,542320,588916,620912,645972,667715,687558,702808,715149
2006,Female,22805,22513,23031,22592,23330,27120,23348,24847,26679,29312,27511,24473,17011,14072,12529,11879,9717,8873,371642,185821,35to39YearOldsCumSum,0.848473,38.39389,22805,45318,68349,90941,114271,141391,164739,189586,216265,245577,273088,297561,314572,328644,341173,353052,362769,371642
2006,Male,23864,23398,24536,23458,22922,25206,23171,24128,25726,27747,25076,22123,14985,10988,9214,7964,5533,3468,343507,171754,35to39YearOldsCumSum,0.215455,35.86182,23864,47262,71798,95256,118178,143384,166555,190683,216409,244156,269232,291355,306340,317328,326542,334506,340039,343507
2007,Total,47199,46328,46835,47214,47071,54028,46726,49853,50617,56690,53483,46992,34884,25814,21528,19561,15352,12865,723040,361520,35to39YearOldsCumSum,0.52392,37.09568,47199,93527,140362,187576,234647,288675,335401,385254,435871,492561,546044,593036,627920,653734,675262,694823,710175,723040
2007,Female,23109,22637,22634,23210,23519,27630,23557,25108,25705,29138,28007,24633,18470,14391,12427,11679,9710,9236,374800,187400,35to39YearOldsCumSum,0.840529,38.36212,23109,45746,68380,91590,115109,142739,166296,191404,217109,246247,274254,298887,317357,331748,344175,355854,365564,374800
2007,Male,24090,23691,24201,24004,23552,26398,23169,24745,24912,27552,25476,22359,16414,11423,9101,7882,5642,3629,348240,174120,35to39YearOldsCumSum,0.202667,35.81067,24090,47781,71982,95986,119538,145936,169105,193850,218762,246314,271790,294149,310563,321986,331087,338969,344611,348240
2008,Total,48100,46959,47135,47762,47032,54147,47498,49762,49198,56039,54966,48022,37014,27140,21654,19088,15325,13353,730194,365097,35to39YearOldsCumSum,0.531811,37.12725,48100,95059,142194,189956,236988,291135,338633,388395,437593,493632,548598,596620,633634,660774,682428,701516,716841,730194
2008,Female,23368,23076,22780,23421,23768,27893,23997,25134,24910,28831,28605,25332,19649,15033,12384,11471,9655,9487,378794,189397,35to39YearOldsCumSum,0.839262,38.35705,23368,46444,69224,92645,116413,144306,168303,193437,218347,247178,275783,301115,320764,335797,348181,359652,369307,378794
2008,Male,24732,23883,24355,24341,23264,26254,23501,24628,24288,27208,26361,22690,17365,12107,9270,7617,5670,3866,351400,175700,35to39YearOldsCumSum,0.218045,35.87218,24732,48615,72970,97311,120575,146829,170330,194958,219246,246454,272815,295505,312870,324977,334247,341864,347534,351400
2009,Total,48219,47209,47184,47599,48205,54617,49165,49284,47764,55831,55364,48936,39298,28147,22036,18800,15285,13762,736705,368353,35to39YearOldsCumSum,0.530689,37.12276,48219,95428,142612,190211,238416,293033,342198,391482,439246,495077,550441,599377,638675,666822,688858,707658,722943,736705
2009,Female,23493,23125,22961,23249,24232,27793,24553,24938,24111,28585,28766,25778,20772,15500,12685,11188,9633,9674,381036,190518,35to39YearOldsCumSum,0.84658,38.38632,23493,46618,69579,92828,117060,144853,169406,194344,218455,247040,275806,301584,322356,337856,350541,361729,371362,381036
2009,Male,24726,24084,24223,24350,23973,26824,24612,24346,23653,27246,26598,23158,18526,12647,9351,7612,5652,4088,355669,177835,35to39YearOldsCumSum,0.207118,35.82847,24726,48810,73033,97383,121356,148180,172792,197138,220791,248037,274635,297793,316319,328966,338317,345929,351581,355669
2010,Total,48626,47214,47459,47182,49065,54002,50873,48227,47414,54872,55910,50179,41835,29071,22213,18466,15422,14142,742172,371086,35to39YearOldsCumSum,0.552906,37.21162,48626,95840,143299,190481,239546,293548,344421,392648,440062,494934,550844,601023,642858,671929,694142,712608,728030,742172
2010,Female,23699,23259,23075,23130,24768,27440,25497,24369,23821,28059,29046,26480,22029,15910,12766,10969,9663,9920,383900,191950,35to39YearOldsCumSum,0.865116,38.46046,23699,46958,70033,93163,117931,145371,170868,195237,219058,247117,276163,302643,324672,340582,353348,364317,373980,383900
2010,Male,24927,23955,24384,24052,24297,26562,25376,23858,23593,26813,26864,23699,19806,13161,9447,7497,5759,4222,358272,179136,35to39YearOldsCumSum,0.23401,35.93604,24927,48882,73266,97318,121615,148177,173553,197411,221004,247817,274681,298380,318186,331347,340794,348291,354050,358272
2011,Total,49370,47554,46030,49975,53895,52057,46920,48503,52483,46978,56426,51225,44819,29542,22553,18297,15237,14548,746412,373206,35to39YearOldsCumSum,0.565017,37.26007,49370,96924,142954,192929,246824,298881,345801,394304,446787,493765,550191,601416,646235,675777,698330,716627,731864,746412
2011,Female,24048,23199,22416,25347,27351,26326,23654,24595,26836,23179,29227,27037,23678,16040,12903,10869,9492,10133,386330,193165,35to39YearOldsCumSum,0.846676,38.3867,24048,47247,69663,95010,122361,148687,172341,196936,223772,246951,276178,303215,326893,342933,355836,366705,376197,386330
2011,Male,25322,24355,23614,24628,26544,25731,23266,23908,25647,23799,27199,24188,21141,13502,9650,7428,5745,4415,360082,180041,35to39YearOldsCumSum,0.275264,36.10105,25322,49677,73291,97919,124463,150194,173460,197368,223015,246814,274013,298201,319342,332844,342494,349922,355667,360082
2012,Total,49437,47563,45474,50711,54239,52841,46698,49055,50578,47347,56272,52450,45150,32600,23304,18173,15020,14953,751865,375933,35to39YearOldsCumSum,0.590551,37.36221,49437,97000,142474,193185,247424,300265,346963,396018,446596,493943,550215,602665,647815,680415,703719,721892,736912,751865
2012,Female,24127,23194,22067,25789,27357,26733,23576,24985,25792,23281,29090,27752,23890,17597,13257,10814,9281,10346,388928,194464,35to39YearOldsCumSum,0.865359,38.46144,24127,47321,69388,95177,122534,149267,172843,197828,223620,246901,275991,303743,327633,345230,358487,369301,378582,388928
2012,Male,25310,24369,23407,24922,26882,26108,23122,24070,24786,24066,27182,24698,21260,15003,10047,7359,5739,4607,362937,181469,35to39YearOldsCumSum,0.305297,36.22119,25310,49679,73086,98008,124890,150998,174120,198190,222976,247042,274224,298922,320182,335185,345232,352591,358330,362937
2013,Total,49447,47506,45748,51155,55307,53885,47285,49102,49182,48093,55658,53780,45965,34558,24511,18412,14622,15210,759426,379713,35to39YearOldsCumSum,0.598346,37.39339,49447,96953,142701,193856,249163,303048,350333,399435,448617,496710,552368,606148,652113,686671,711182,729594,744216,759426
2013,Female,24091,23207,22189,26058,27834,27203,23893,25100,25018,23581,28795,28269,24503,18537,13833,10956,9012,10479,392558,196279,35to39YearOldsCumSum,0.868685,38.47474,24091,47298,69487,95545,123379,150582,174475,199575,224593,248174,276969,305238,329741,348278,362111,373067,382079,392558
2013,Male,25356,24299,23559,25097,27473,26682,23392,24002,24164,24512,26863,25511,21462,16021,10678,7456,5610,4731,366868,183434,35to39YearOldsCumSum,0.31564,36.26256,25356,49655,73214,98311,125784,152466,175858,199860,224024,248536,275399,300910,322372,338393,349071,356527,362137,366868
2014,Total,49244,47374,45622,50465,56485,53776,48092,48201,47591,47817,55129,54303,46953,36880,25449,18720,14298,15574,761973,380987,35to39YearOldsCumSum,0.62091,37.48364,49244,96618,142240,192705,249190,302966,351058,399259,446850,494667,549796,604099,651052,687932,713381,732101,746399,761973
2014,Females,23839,23240,22214,25285,28610,27236,24158,24684,24315,23351,28598,28506,25028,19792,14285,11085,8817,10673,393716,196858,35to39YearOldsCumSum,0.902447,38.60979,23839,47079,69293,94578,123188,150424,174582,199266,223581,246932,275530,304036,329064,348856,363141,374226,383043,393716
2014,Male,25405,24134,23408,25180,27875,26540,23934,23517,23276,24466,26531,25797,21925,17088,11164,7635,5481,4901,368257,184129,35to39YearOldsCumSum,0.325403,36.30161,25405,49539,72947,98127,126002,152542,176476,199993,223269,247735,274266,300063,321988,339076,350240,357875,363356,368257
2015,Total,49284,47082,45701,49555,57839,53583,49222,47325,47034,47718,53997,54644,47991,39284,26113,19001,14025,15794,765192,382596,35to39YearOldsCumSum,0.640887,37.56355,49284,96366,142067,191622,249461,303044,352266,399591,446625,494343,548340,602984,650975,690259,716372,735373,749398,765192
2015,Female,23867,23169,22319,24677,29380,27112,24762,24221,24040,23216,27978,28675,25664,21034,14542,11228,8610,10791,395285,197643,35to39YearOldsCumSum,0.923021,38.69209,23867,47036,69355,94032,123412,150524,175286,199507,223547,246763,274741,303416,329080,350114,364656,375884,384494,395285
2015,Male,25417,23913,23382,24878,28459,26471,24460,23104,22994,24502,26019,25969,22327,18250,11571,7773,5415,5003,369907,184954,35to39YearOldsCumSum,0.345113,36.38045,25417,49330,72712,97590,126049,152520,176980,200084,223078,247580,273599,299568,321895,340145,351716,359489,364904,369907
2016,Total,48950,47139,46168,48760,59338,53524,49965,45828,47750,47697,51548,54822,48851,41669,26502,19464,13974,15762,767711,383856,35to39YearOldsCumSum,0.654873,37.61949,48950,96089,142257,191017,250355,303879,353844,399672,447422,495119,546667,601489,650340,692009,718511,737975,751949,767711
2016,Female,23796,23196,22558,24062,30274,26860,25233,23403,24568,23196,26681,28673,26174,22362,14652,11412,8598,10730,396428,198214,35to39YearOldsCumSum,0.950092,38.80037,23796,46992,69550,93612,123886,150746,175979,199382,223950,247146,273827,302500,328674,351036,365688,377100,385698,396428
2016,Male,25154,23943,23610,24698,29064,26664,24732,22425,23182,24501,24867,26149,22677,19307,11850,8052,5376,5032,371283,185642,35to39YearOldsCumSum,0.346778,36.38711,25154,49097,72707,97405,126469,153133,177865,200290,223472,247973,272840,298989,321666,340973,352823,360875,366251,371283
2017,Total,48674,47212,46502,48276,60556,53679,50586,45416,47803,47450,49497,54290,49518,41684,29310,20053,14031,15840,770377,385189,35to39YearOldsCumSum,0.654032,37.61613,48674,95886,142388,190664,251220,304899,355485,400901,448704,496154,545651,599941,649459,691143,720453,740506,754537,770377
2017,Female,23740,23181,22817,23761,30818,26806,25574,23184,24745,23156,25535,28420,26565,22426,16106,11694,8604,10705,397837,198919,35to39YearOldsCumSum,0.958484,38.83394,23740,46921,69738,93499,124317,151123,176697,199881,224626,247782,273317,301737,328302,350728,366834,378528,387132,397837
2017,Male,24934,24031,23685,24515,29738,26873,25012,22232,23058,24294,23962,25870,22953,19258,13204,8359,5427,5135,372540,186270,35to39YearOldsCumSum,0.336542,36.34617,24934,48965,72650,97165,126903,153776,178788,201020,224078,248372,272334,298204,321157,340415,353619,361978,367405,372540
2018,Total,48326,47334,46268,47959,60494,53784,51052,45398,47345,46872,47592,53221,50369,42210,30963,21001,14396,15933,770517,385259,35to39YearOldsCumSum,0.661736,37.64694,48326,95660,141928,189887,250381,304165,355217,400615,447960,494832,542424,595645,646014,688224,719187,740188,754584,770517
2018,Female,23534,23172,22745,23877,30643,26789,25802,23236,24471,22917,24567,27925,26862,22934,16925,12195,8782,10714,398090,199045,35to39YearOldsCumSum,0.967593,38.87037,23534,46706,69451,93328,123971,150760,176562,199798,224269,247186,271753,299678,326540,349474,366399,378594,387376,398090
2018,Male,24792,24162,23523,24082,29851,26995,25250,22162,22874,23955,23025,25296,23507,19276,14038,8806,5614,5219,372427,186214,35to39YearOldsCumSum,0.341057,36.36423,24792,48954,72477,96559,126410,153405,178655,200817,223691,247646,270671,295967,319474,338750,352788,361594,367208,372427
